,Id,Date,Market_participation,Producer_merchant_processor_user_longs,Producer_merchant_processor_user_shorts,Swap_dealer_longs,Swap_dealer_shorts,Swap_dealer_spreads,Money_manager_longs,Money_manager_shorts,Money_manager_spreads,Other_reportable_longs,Other_reportable_shorts,Other_reportable_spreads,Total_reportable_longs,Total_reportable_shorts,Non_reportable_longs,Non_reportable_shorts,GOLD,Net_Producer_Pos,Net_Swap_Dealer_Pos,Net_Money_Manager_Pos,Net_Other_Reportable_Pos,Price_Change,Target_Class,SMA_10,SMA_50,Turning_Point,Trader_Cluster,Anomaly_Zscore,Anomaly_IsolationForest,Anomaly,Volatility_10d,Price_Change_Z,Extreme_Event
9,9,2011-02-20,3533.4827586206898,1572.1172413793104,2347.196551724138,501.13793103448273,261.8034482758621,255.8413793103448,290.51724137931035,49.70344827586207,34.63793103448276,378.5,43.8551724137931,74.7896551724138,3108.127586206897,3068.38275862069,410.4931034482759,450.20344827586206,1373.6,-775.0793103448275,239.33448275862065,240.8137931034483,334.64482758620693,0.0074812967581046,0.0,1373.72,1267.0659999999998,0,2,False,False,False,0.014213171444077497,0.33032232390630534,0
10,10,2011-02-27,3735.8275862068967,1931.4310344827584,2540.9655172413795,519.551724137931,288.5310344827586,236.74827586206897,290.4448275862069,58.86206896551724,49.0103448275862,264.8068965517241,34.30689655172414,51.54827586206897,3344.0034482758624,3260.493103448276,377.0655172413793,460.3689655172414,1400.5,-609.5344827586209,231.0206896551724,231.58275862068965,230.5,0.0195835760046594,0.0,1373.41,1272.63,0,2,False,False,False,0.015804384698631997,0.8769303532854497,0
11,11,2011-03-06,3214.9666666666667,1359.86,2196.7200000000003,577.8733333333333,175.56,225.4,281.1066666666667,47.693333333333335,44.06666666666667,292.53333333333336,28.60666666666667,38.773333333333326,2820.173333333333,2757.293333333333,380.56,443.2066666666667,1431.2,-836.8600000000001,402.3133333333333,233.41333333333336,263.9266666666667,0.0219207425919314,1.0,1377.71,1278.804,0,2,False,False,False,0.016690240461798067,0.9824901405431435,0
12,12,2011-03-13,3394.9666666666667,1668.6733333333332,2307.6200000000003,444.36,183.44666666666663,283.4533333333333,296.4,-20.6,43.126666666666665,277.3333333333333,33.78,38.773333333333326,3052.06,2869.52,328.67333333333335,511.1133333333333,1427.2,-638.9466666666672,260.91333333333336,317.0,243.5533333333333,-0.0027948574622693,1.0,1379.91,1285.274,0,2,False,False,False,0.0164586646620597,-0.1338074729328955,0
13,13,2011-03-20,3559.5,1704.6533333333332,2547.3466666666664,458.22,156.46666666666667,302.3333333333333,280.14000000000004,40.74666666666667,46.59333333333333,284.88000000000005,28.613333333333337,38.773333333333326,3115.633333333333,3160.873333333333,429.56666666666666,384.32666666666665,1392.8,-842.6933333333332,301.75333333333333,239.39333333333337,256.2666666666667,-0.0241031390134529,0.0,1381.31,1291.04,0,2,False,False,False,0.01725941701671825,-1.0962111285471154,0
14,14,2011-03-27,3544.233333333333,1624.78,2388.8,453.12666666666667,152.20666666666665,316.17333333333335,303.76,74.18666666666667,44.04,269.7333333333333,28.613333333333337,41.28666666666666,3052.8466666666664,3045.293333333333,477.0866666666667,484.6733333333333,1427.6,-764.0200000000002,300.92,229.57333333333327,241.12,0.0249856404365307,1.0,1385.64,1296.89,0,2,False,False,False,0.01884785984458207,1.1209184264019187,0
15,15,2011-04-03,3696.0666666666666,1791.0866666666666,2428.0333333333333,408.4333333333333,138.12,359.48,296.17333333333335,18.026666666666664,95.21333333333334,264.6933333333333,28.60666666666667,41.28666666666666,3256.3,3108.78,425.5,573.02,1416.2,-636.9466666666667,270.31333333333333,278.1466666666667,236.08666666666664,-0.0079854300924627,0.0,1390.44,1302.158,0,2,False,False,False,0.018561286540767306,-0.36824336876194075,0
16,16,2011-04-10,3268.0666666666666,1596.18,2160.653333333333,337.06,314.6333333333333,273.8333333333333,404.9933333333333,85.92,14.813333333333333,274.6933333333333,36.03333333333333,28.08,2930.246666666667,2914.773333333333,323.2866666666667,338.3933333333333,1451.8,-564.4733333333331,22.42666666666668,319.07333333333327,238.66,0.0251376924163253,0.0,1402.39,1308.422,0,2,False,False,False,0.016361468932513626,1.1277859619582797,0
17,17,2011-04-17,3557.0333333333333,1713.4266666666665,2262.14,367.3933333333333,494.9133333333333,290.65333333333336,358.64000000000004,43.74666666666667,41.28,284.44,23.95333333333333,26.37333333333333,3082.4800000000005,3183.02,459.88666666666666,359.11333333333334,1452.9,-548.7133333333334,-127.51999999999998,314.8933333333334,260.4866666666667,0.000757680121229,0.0,1413.7199999999998,1314.246,0,2,False,False,False,0.01653347407709935,0.026645407739490718,0
18,18,2011-04-24,3660.933333333333,1876.5333333333333,2245.8066666666664,322.27333333333337,416.74,296.8333333333333,408.7466666666667,7.986666666666667,101.49333333333334,289.5,23.95333333333333,23.82,3319.633333333333,3116.5666666666666,326.6333333333333,529.3,1494.5,-369.2733333333331,-94.46666666666664,400.7600000000001,265.5466666666667,0.0286323903916305,0.0,1426.83,1320.7519999999995,0,2,False,False,False,0.017552241375510626,1.2856264756863571,0
