,Column,Type
0,Id,int64
1,Date,datetime64[ns]
2,Market_participation,float64
3,Producer_merchant_processor_user_longs,float64
4,Producer_merchant_processor_user_shorts,float64
5,Swap_dealer_longs,float64
6,Swap_dealer_shorts,float64
7,Swap_dealer_spreads,float64
8,Money_manager_longs,float64
9,Money_manager_shorts,float64
10,Money_manager_spreads,float64
11,Other_reportable_longs,float64
12,Other_reportable_shorts,float64
13,Other_reportable_spreads,float64
14,Total_reportable_longs,float64
15,Total_reportable_shorts,float64
16,Non_reportable_longs,float64
17,Non_reportable_shorts,float64
18,GOLD,float64
19,Net_Producer_Pos,float64
20,Net_Swap_Dealer_Pos,float64
21,Net_Money_Manager_Pos,float64
22,Net_Other_Reportable_Pos,float64
23,Price_Change,float64
24,Target_Class,float64
25,SMA_10,float64
26,SMA_50,float64
27,Turning_Point,int64
28,Trader_Cluster,int64
29,Anomaly_Zscore,bool
30,Anomaly_IsolationForest,bool
31,Anomaly,bool
32,Volatility_10d,float64
33,Price_Change_Z,float64
34,Extreme_Event,int32
